name,lat,lon,fallingrain_name
Virginia,36.85,-75.98,Virginia Beach
Havana,23.13,-82.36,Habana
Haiti,18.54,-72.33,Port au Prince
Kingston,18,-76.8,Kingston
Dominica,15.3,-61.4,Roseau
Martinique,14.61,-61.08,Fort-de-France 
Guyana,6.8,-58.15,Georgetown
Salvador,-12.98,-38.52,Salvador da Bahia
Rio de Janeiro,-22.88,-43.28,Rio
